Haaland|15.5|6.056|6.362|8.042|5.440|7.076
B.Fernandes|12|6.948|7.432|5.670|5.314|5.894
Palmer|9.5|5.401|5.568|3.804|7.049|5.079
Isak|9|5.032|5.378|5.532|5.528|4.885
Gabriel|8|6.015|4.527|4.361|5.380|4.556
Gibbs-White|8|5.387|4.021|4.945|4.402|5.987
Szoboszlai|7|4.718|5.034|5.093|5.264|4.613
Semenyo|8.5|5.204|4.631|5.668|4.007|5.115
João Pedro|7.5|4.813|5.003|3.451|6.153|4.571
Wirtz|7.5|4.520|4.879|5.010|5.128|4.396
Mbeumo|8|5.868|5.620|4.079|3.912|4.287
Gakpo|7|4.380|4.716|4.805|4.868|4.218
Anderson|6.5|4.275|4.512|5.039|4.159|4.840
Saka|9.5|3.103|4.745|4.939|5.094|4.774
Ndiaye|6|4.851|4.219|4.109|3.993|5.134
Thiago|8|4.597|4.229|4.869|4.289|4.311
Cunha|8|5.809|4.972|3.877|3.645|3.976
Calvert-Lewin|6|4.166|4.545|3.986|4.642|4.755
Rogers|7.5|4.255|4.493|3.231|5.635|4.157
Watkins|8|4.443|3.580|5.001|4.623|3.985
O.Dango|6.5|4.391|4.059|4.706|4.083|4.056
Virgil|6.5|3.905|4.414|4.447|4.504|3.975
Sarr|6.5|4.129|3.813|4.152|5.114|4.030
Tavernier|6|3.641|4.639|4.149|4.606|4.154
Mosquera|5.5|5.555|4.266|3.368|4.204|3.613
O'Reilly|6.5|3.625|4.028|5.249|3.077|4.813
Buendía|6|3.949|3.522|4.856|4.488|3.880
Dewsbury-Hall|6.5|4.394|3.807|3.710|3.619|4.664
Tzolis|6.5|5.319|3.575|3.761|3.869|3.630
Schade|6|4.139|3.838|4.458|3.833|3.865
Groß|5.5|4.444|3.624|4.263|4.385|3.410
N.Williams|5|4.422|2.909|4.098|3.355|5.236
Gvardiol|5.5|3.993|3.867|4.648|2.948|4.503
Wilson|6.5|3.750|4.149|3.585|4.119|4.268
Scott|6|3.617|4.270|3.936|4.165|3.836
Lacroix|6|3.986|3.946|3.142|4.896|3.829
Raya|6|4.535|3.729|3.663|4.137|3.722
Collins|5.5|3.808|4.063|4.725|3.654|3.270
E.Le Fée|6|4.429|4.398|3.913|3.366|3.409
Tarkowski|6|4.439|3.657|3.390|3.496|4.512
Muharemović|5|3.589|4.040|3.499|3.864|4.423
Van Hecke|5|3.636|3.881|3.672|4.417|3.676
Palestra|5.5|3.878|3.893|2.665|5.328|3.514
Gomez|5|4.128|3.461|4.149|4.224|3.287
Evanilson|6|3.322|4.126|3.756|4.190|3.762
Kerkez|5.5|3.255|4.162|4.139|4.250|3.341
Canvot|5|3.985|2.951|3.831|4.405|3.968
Hinshelwood|6|4.173|3.408|4.114|4.123|3.164
Gonzalo|6|3.803|3.771|4.264|3.283|3.686
Kluivert|6|3.201|4.112|3.678|4.149|3.654
Enzo|7|3.579|3.914|2.870|4.742|3.632
Richards|5|3.912|2.852|3.722|4.291|3.861
Pedro Porro|5.5|2.161|4.186|3.749|4.560|3.930
Sangaré|5|3.449|3.100|3.421|3.220|3.669
Havertz|7.5|4.648|3.371|3.578|3.504|3.429
Ødegaard|6.5|4.666|3.354|3.535|3.562|3.389
Tel|6|4.128|4.150|3.302|3.487|3.367
Hill|5.5|2.848|4.416|3.639|4.083|3.379
Bruno G.|7|4.545|3.376|3.470|3.570|3.396
Frimpong|5.5|3.411|4.010|3.797|3.909|3.125
Brobbey|6|4.173|4.217|3.540|3.157|3.114
Wharton|5.5|3.614|3.395|3.633|4.064|3.493
A.Becker|5.5|3.254|3.863|3.825|3.822|3.427
Murillo|5.5|4.056|2.900|3.634|3.249|4.351
Rice|7.5|2.761|3.868|3.776|3.956|3.720
Thiaw|5|2.852|3.184|3.661|3.644|4.703
Igor Jesus|6|3.838|3.112|3.576|3.241|4.191
Ajer|4.5|3.486|3.727|4.346|3.396|2.986
Ballard|5|4.287|4.094|3.623|3.218|2.715
Donnarumma|5.5|3.476|3.482|3.963|3.068|3.911
Maguire|5|4.277|4.028|3.624|2.703|3.264
Rayan|6.5|3.144|3.901|3.505|3.884|3.435
Branthwaite|5.5|4.027|3.340|3.072|3.221|4.175
McBurnie|5.5|3.383|3.972|3.750|3.205|3.503
Maatsen|4.5|3.088|2.952|4.561|4.027|3.144
Milenković|5.5|3.895|2.741|3.483|3.100|4.248
McGinn|5.5|3.312|3.027|4.032|3.795|3.251
Truffert|5.5|2.485|4.350|3.328|4.003|3.239
Stach|6|3.332|3.558|3.218|3.588|3.678
Iwobi|5.5|3.466|3.532|3.874|3.105|3.394
Shaw|4.5|4.193|4.076|3.280|2.580|3.231
Tielemans|6|3.717|3.790|3.295|3.122|3.360
Mateta|6.5|2.890|3.225|3.445|4.318|3.377
Barry|5.5|3.762|3.173|3.185|3.082|3.960
Ampadu|5.5|3.317|3.499|3.230|3.509|3.573
Ngumoha|6|3.346|3.527|3.557|3.574|3.098
Calafiori|5.5|4.498|3.072|3.024|3.431|2.996
Xhaka|5.5|3.640|3.763|3.433|3.105|3.078
Fernandes|6|1.177|4.111|3.730|4.053|3.873
Pickford|5.5|3.573|3.215|3.213|3.025|3.850
Rodon|4.5|3.068|3.510|2.989|3.360|3.877
Silva|5|2.507|4.146|3.314|3.766|3.043
Kelleher|5|3.233|3.396|3.795|3.241|3.023
Gravenberch|6|3.363|3.438|3.320|3.425|3.125
Cherki|7.5|3.973|3.214|3.577|2.599|3.251
Caicedo|5.5|3.395|3.331|2.819|3.764|3.278
Tonali|5.5|3.480|3.434|3.081|3.381|3.196
Barnes|6|3.027|2.926|3.441|3.092|4.064
Kinsky|4.5|2.994|3.291|3.290|3.657|3.306
Wieffer|5|3.545|2.598|3.775|3.853|2.731
Trafford|5|3.170|3.355|3.021|3.316|3.614
James|5.5|4.063|4.005|2.012|3.738|2.635
Sánchez|5|3.267|3.326|2.705|3.957|3.088
Cash|4.5|2.717|2.686|4.267|3.776|2.847
Horníček|5|2.709|2.964|3.386|3.259|3.973
Foden|7|4.038|3.244|3.396|2.485|3.124
Sels|5|3.487|2.551|3.269|3.030|3.879
Aina|4.5|3.751|2.271|3.237|2.618|4.130
Gallagher|5.5|3.537|3.809|2.969|2.886|2.745
Enciso|5.5|3.619|2.833|3.076|3.261|3.155
Andrey Santos|5|3.435|3.452|3.055|2.877|3.069
Colwill|5|3.232|3.244|2.346|4.093|2.947
Verbruggen|4.5|3.203|2.610|3.516|3.570|2.855
Wissa|6|2.919|2.826|3.301|2.880|3.823
Emersonn|5.5|3.536|2.823|3.085|3.190|3.094
Kayode|4.5|3.127|3.093|3.980|2.801|2.714
Nørgaard|5|1.254|3.812|3.406|3.369|3.826
Richarlison|6|4.967|5.064|1.810|1.927|1.874
Henderson|5|3.139|2.602|3.142|3.628|3.117
Adams|5|2.858|3.341|3.077|3.268|3.055
Roefs|5|3.483|3.608|3.063|2.908|2.491
Diomande|5.5|3.445|2.407|3.082|2.728|3.736
Leno|4.5|2.779|3.448|3.535|2.467|3.108
Mykolenko|4.5|3.317|2.824|2.651|2.726|3.792
Šeško|7|1.058|3.796|3.440|3.403|3.567
Hall|5|2.406|2.617|3.193|2.822|4.177
Bijol|5|3.085|3.074|2.701|2.981|3.372
F.Kadıoğlu|4.5|3.271|2.248|3.549|3.604|2.529
Ndoye|5.5|3.224|2.599|3.028|2.768|3.541
Vuskovic|5|3.060|2.456|3.463|3.459|2.659
Justin|4.5|3.436|3.310|2.478|2.789|3.034
Konsa|4.5|2.038|2.640|4.020|3.565|2.759
Botman|5|2.431|2.716|3.003|3.062|3.740
Muñoz|5.5|2.659|2.422|3.044|3.888|2.933
Petrović|4.5|2.381|3.601|2.937|3.258|2.753
Van de Ven|5|2.686|2.948|2.819|3.485|2.889
Bobb|5.5|2.935|3.005|3.323|2.607|2.877
Woltemade|6|2.789|2.666|2.991|2.719|3.468
Rushworth|4.5|2.328|3.825|2.286|3.066|3.087
Garnacho|6|3.429|2.355|3.211|2.990|2.558
Egan|4|2.653|3.579|3.004|2.319|2.960
Scherpen|4.5|3.336|2.589|2.481|2.998|3.031
J.Timber|6.5|0.000|1.230|4.213|4.818|4.141
O'Shea|4|3.482|2.235|2.421|3.107|3.152
Matheus N.|6|2.908|2.707|3.443|2.095|3.180
Mitchell|4.5|2.773|2.242|2.839|3.666|2.787
O'Brien|5|3.131|2.583|2.488|2.488|3.556
