element_id,web_name,first_name,second_name,club,pos,official_draft_rank
1,Raya,David,Raya Martín,ARS,GKP,59
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,ARS,GKP,336
3,Meslier,Illan,Meslier,ARS,GKP,340
4,Gabriel,Gabriel,dos Santos Magalhães,ARS,DEF,7
5,J.Timber,Jurriën,Timber,ARS,DEF,36
6,Saliba,William,Saliba,ARS,DEF,66
7,Lewis-Skelly,Myles,Lewis-Skelly,ARS,MID,185
8,Calafiori,Riccardo,Calafiori,ARS,DEF,133
9,Hincapie,Piero,Hincapié,ARS,DEF,142
10,White,Benjamin,White,ARS,DEF,173
11,Mosquera,Cristhian,Mosquera,ARS,DEF,180
12,Saka,Bukayo,Saka,ARS,MID,3
13,Rice,Declan,Rice,ARS,MID,13
14,Eze,Eberechi,Eze,ARS,MID,41
15,Ødegaard,Martin,Ødegaard,ARS,MID,44
16,Madueke,Noni,Madueke,ARS,MID,45
17,Merino,Mikel,Merino Zazón,ARS,MID,95
18,Martinelli,Gabriel,Martinelli Silva,ARS,MID,49
19,Zubimendi,Martín,Zubimendi Ibáñez,ARS,MID,120
20,Dowman,Max,Dowman,ARS,MID,194
21,Nørgaard,Christian,Nørgaard,EVE,MID,327
22,Nwaneri,Ethan,Nwaneri,ARS,MID,201
23,Fábio Vieira,Fábio,Ferreira Vieira,ARS,MID,203
24,Nelson,Reiss,Nelson,ARS,MID,198
25,Gyökeres,Viktor,Gyökeres,ARS,FWD,17
26,Havertz,Kai,Havertz,ARS,FWD,22
27,G.Jesus,Gabriel,Fernando de Jesus,ARS,FWD,106
28,Martinez,Emiliano,Martínez Romero,AVL,GKP,237
29,M.Bizot,Marco,Bizot,AVL,GKP,457
30,Digne,Lucas,Digne,AVL,DEF,416
31,Konsa,Ezri,Konsa Ngoyo,ARS,DEF,414
32,Cash,Matty,Cash,AVL,DEF,408
33,Mings,Tyrone,Mings,AVL,DEF,438
34,Pau,Pau,Torres,AVL,DEF,431
35,Bogarde,Lamare,Bogarde,AVL,MID,297
36,Maatsen,Ian,Maatsen,AVL,DEF,435
37,Lindelöf,Victor,Lindelöf,AVL,DEF,449
38,A.García,Andrés,García,AVL,DEF,552
39,Nedeljkovic,Kosta,Nedeljkovic,AVL,DEF,561
40,Rogers,Morgan,Rogers,CHE,MID,15
41,Buendía,Emiliano,Buendía Stati,AVL,MID,81
42,Guessand,Evann,Guessand,CRY,MID,175
43,Tielemans,Youri,Tielemans,MUN,MID,94
44,Bailey,Leon,Bailey,AVL,MID,190
45,McGinn,John,McGinn,AVL,MID,136
46,Barkley,Ross,Barkley,AVL,MID,282
47,Kamara,Boubacar,Kamara,AVL,MID,278
48,Onana,Amadou,Onana,AVL,MID,262
49,Iling Jr,Samuel,Iling-Junior,AVL,MID,341
50,Burrowes,Bradley,Burrowes,AVL,MID,480
51,George Hemmings,George,Hemmings,AVL,MID,473
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,AVL,MID,332
53,Manzambi,Johan,Manzambi,AVL,MID,107
54,Gomes,Joao,Gomes,AVL,MID,145
55,Watkins,Ollie,Watkins,AVL,FWD,10
56,Abraham,Tammy,Abraham,AVL,FWD,188
57,Petrović,Đorđe,Petrović,BOU,GKP,405
58,Forster,Fraser,Forster,BOU,GKP,562
59,Dennis,Will,Dennis,BOU,GKP,563
60,Hill,James,Hill,BOU,DEF,131
61,Truffert,Adrien,Truffert,BOU,DEF,113
62,Diakité,Bafodé,Diakité,BOU,DEF,293
63,Milosavljević,Veljko,Milosavljevic,BOU,DEF,311
64,Smith,Adam,Smith,BOU,DEF,433
65,J.Araujo,Julián,Araujo Zúñiga,BOU,DEF,489
66,Soler,Julio,Soler Barreto,BOU,DEF,553
67,Rayan,Rayan Vitor,Simplício Rocha,BOU,MID,47
68,Tavernier,Marcus,Tavernier,BOU,MID,67
69,Scott,Alex,Scott,BOU,MID,69
70,Kluivert,Justin,Kluivert,BOU,MID,101
71,Cook,Lewis,Cook,BOU,MID,298
72,Gannon-Doak,Ben,Gannon-Doak,BOU,MID,323
73,Adams,Tyler,Adams,BOU,MID,261
74,Brooks,David,Brooks,BOU,MID,280
75,Christie,Ryan,Christie,BOU,MID,291
76,Tóth.A,Alex,Tóth,BOU,MID,325
77,Adli,Amine,Adli,BOU,MID,271
78,Kroupi.Jr,Junior,Kroupi,BOU,MID,21
79,Evanilson,Francisco Evanilson,de Lima Barbosa,BOU,FWD,76
80,Enes Ünal,Enes,Ünal,BOU,FWD,186
81,Rodríguez,Álvaro,Rodríguez,BOU,FWD,108
82,Kelleher,Caoimhín,Kelleher,BRE,GKP,228
83,Valdimarsson,Hákon Rafn,Valdimarsson,BRE,GKP,481
84,Collins,Nathan,Collins,BRE,DEF,121
85,Van den Berg,Sepp,van den Berg,BRE,DEF,241
86,Lewis-Potter,Keane,Lewis-Potter,BRE,MID,126
87,Ajer,Kristoffer,Ajer,BRE,DEF,425
88,Kayode,Michael,Kayode,BRE,DEF,409
89,Henry,Rico,Henry,BRE,DEF,437
90,Hickey,Aaron,Hickey,BRE,DEF,446
91,Pinnock,Ethan,Pinnock,COV,DEF,460
92,Ji-soo,Kim,Ji-soo,BRE,DEF,490
93,Schuster,Jannik,Schuster,BRE,DEF,491
94,Schade,Kevin,Schade,BRE,MID,73
95,O.Dango,Dango,Ouattara,BRE,MID,37
96,Damsgaard,Mikkel,Damsgaard,BRE,MID,128
97,Jensen,Mathias,Jensen,BRE,MID,138
98,Janelt,Vitaly,Janelt,BRE,MID,264
99,Milambo,Antoni,Milambo,BRE,MID,338
100,Carvalho,Fábio,Freitas Gouveia Carvalho,BRE,MID,315
101,Henderson,Jordan,Henderson,CHE,MID,263
102,Yarmoliuk,Yehor,Yarmoliuk,BRE,MID,247
103,Dasilva,Josh,Dasilva,BRE,MID,337
104,Onyeka,Frank,Onyeka,COV,MID,320
105,Anthony,Jaidon,Anthony,BRE,MID,109
106,Thiago,Igor Thiago,Nascimento Rodrigues,BRE,FWD,9
107,Furo,Kaye,Furo,BRE,FWD,482
108,Wilson,Callum,Wilson,BRE,FWD,204
109,Verbruggen,Bart,Verbruggen,BHA,GKP,404
110,Rushworth,Carl,Rushworth,COV,GKP,492
111,Steele,Jason,Steele,BHA,GKP,564
112,Van Hecke,Jan Paul,van Hecke,TOT,DEF,227
113,F.Kadıoğlu,Ferdi,Kadıoğlu,BHA,DEF,407
114,Boscagli,Olivier,Boscagli,BHA,DEF,442
115,De Cuyper,Maxim,De Cuyper,BHA,DEF,422
116,Dunk,Lewis,Dunk,BHA,DEF,415
117,Coppola,Diego,Coppola,BHA,DEF,465
118,Igor,Igor Julio,dos Santos de Paulo,BHA,DEF,468
119,Costinha,João Pedro,Loureiro da Costa,BHA,DEF,493
120,Svoboda,Michael,Svoboda,BHA,DEF,342
121,Mitoma,Mitoma,Kaoru,BHA,MID,97
122,Minteh,Yankuba,Minteh,BHA,MID,75
123,Hinshelwood,Jack,Hinshelwood,BHA,MID,85
124,Groß,Pascal,Groß,BHA,MID,154
125,Georginio,Georginio,Rutter,BHA,FWD,143
126,O'Riley,Matt,O'Riley,BHA,MID,195
127,Gomez,Diego,Gómez Amarilla,BHA,MID,249
128,Buonanotte,Facundo,Buonanotte,BHA,MID,333
129,Ayari,Yasin,Ayari,BHA,MID,139
130,Wieffer,Mats,Wieffer,BHA,DEF,252
131,Baleba,Carlos,Baleba,MUN,MID,283
132,Howell,Harry,Howell,BHA,MID,471
133,Watson,Tom,Watson,BHA,MID,329
134,Oriola,Nehemiah,Oriola,BHA,MID,483
135,Yohanna,Zadok,Yohanna,BHA,MID,343
136,Welbeck,Danny,Welbeck,CHE,FWD,72
137,Tzimas,Stefanos,Tzimas,BHA,FWD,196
138,Kostoulas,Charalampos,Kostoulas,BHA,FWD,183
139,Ferguson,Evan,Ferguson,BHA,FWD,344
140,Sánchez,Robert,Lynch Sánchez,CHE,GKP,242
141,Jörgensen,Filip,Jörgensen,CHE,GKP,324
142,James,Reece,James,CHE,DEF,127
143,Chalobah,Trevoh,Chalobah,CHE,DEF,115
144,Gusto,Malo,Gusto,CHE,DEF,250
145,Fofana,Wesley,Fofana,CHE,DEF,275
146,B.Badiashile,Benoît,Badiashile Mukinayi,CHE,DEF,466
147,Tosin,Tosin,Adarabioyo,CHE,DEF,447
148,Hato,Jorrel,Hato,CHE,DEF,455
149,Colwill,Levi,Samuels Colwill,CHE,DEF,326
150,M.Sarr,Mamadou,Sarr,CHE,DEF,472
151,Acheampong,Josh,Acheampong,CHE,DEF,443
152,Palestra,Marco,Palestra,CHE,DEF,205
153,Disasi,Axel,Disasi,CRY,DEF,494
154,Palmer,Cole,Palmer,CHE,MID,4
155,Enzo,Enzo,Fernández,CHE,MID,24
156,Neto,Pedro,Lomba Neto,CHE,MID,38
157,Estêvão,Estêvão,Almeida de Oliveira Gonçalves,CHE,MID,48
158,Gittens,Jamie,Bynoe-Gittens,CHE,MID,105
159,Caicedo,Moisés,Caicedo Corozo,CHE,MID,132
160,Garnacho,Alejandro,Garnacho Ferreyra,AVL,MID,98
161,Lavia,Roméo,Lavia,CHE,MID,316
162,Andrey Santos,Andrey,Nascimento dos Santos,MUN,MID,292
163,D.Essugo,Dário,Luís Essugo,CHE,MID,484
164,Quenda,Geovany,Quenda,CHE,MID,206
165,João Pedro,João Pedro,Junqueira de Jesus,CHE,FWD,14
166,N.Jackson,Nicolas,Jackson,CHE,FWD,52
167,Delap,Liam,Delap,NFO,FWD,174
