element_id,rank,web_name,club,pos
411,1,Haaland,MCI,FWD
4,2,Gabriel,ARS,DEF
426,3,B.Fernandes,MUN,MID
106,4,Thiago,BRE,FWD
165,5,João Pedro,CHE,FWD
388,6,Guéhi,MCI,DEF
397,7,Semenyo,MCI,MID
5,8,J.Timber,ARS,DEF
452,9,Bruno G.,ARS,MID
346,10,Calvert-Lewin,LEE,FWD
387,11,O'Reilly,MCI,DEF
533,12,Mukiele,SUN,DEF
498,13,Senesi,TOT,DEF
13,14,Rice,ARS,MID
12,15,Saka,ARS,MID
201,16,Muñoz,NFO,DEF
480,17,Gibbs-White,NFO,MID
356,18,Virgil,LIV,DEF
229,19,Tarkowski,EVE,DEF
389,20,Matheus N.,MCI,DEF
200,21,Lacroix,CHE,DEF
391,22,Gvardiol,MCI,DEF
236,23,Dewsbury-Hall,EVE,MID
390,24,Rúben,MCI,DEF
61,25,Truffert,BOU,DEF
481,26,Anderson,MCI,MID
335,27,Stach,LEE,MID
8,28,Calafiori,ARS,DEF
25,29,Gyökeres,ARS,FWD
40,30,Rogers,CHE,MID
112,31,Van Hecke,TOT,DEF
628,32,Barcola,LIV,MID
67,33,Rayan,BOU,MID
427,34,Mbeumo,MUN,MID
532,35,Ballard,SUN,DEF
79,36,Evanilson,BOU,FWD
368,37,Szoboszlai,LIV,MID
327,38,Bijol,LEE,DEF
154,39,Palmer,CHE,MID
155,40,Enzo,MCI,MID
418,41,Maguire,MUN,DEF
380,42,Ekitiké,LIV,FWD
202,43,Richards,CRY,DEF
428,44,Cunha,MUN,MID
491,45,Igor Jesus,NFO,FWD
439,46,Šeško,MUN,FWD
26,47,Havertz,ARS,FWD
60,48,Hill,BOU,DEF
95,49,O.Dango,BRE,MID
552,50,Brobbey,SUN,FWD
400,51,Doku,MCI,MID
142,52,James,CHE,DEF
379,53,Isak,LIV,FWD
253,54,Andersen,FUL,DEF
239,55,Garner,EVE,MID
473,56,Aina,NFO,DEF
124,57,Groß,BHA,MID
399,58,Cherki,MCI,MID
542,59,E.Le Fée,SUN,MID
203,60,Canvot,CRY,DEF
68,61,Tavernier,BOU,MID
