element_id,rank,web_name,club,pos
411,1,Haaland,MCI,FWD
426,2,B.Fernandes,MUN,MID
12,3,Saka,ARS,MID
154,4,Palmer,CHE,MID
165,5,João Pedro,CHE,FWD
368,6,Szoboszlai,LIV,MID
106,7,Thiago,BRE,FWD
4,8,Gabriel,ARS,DEF
55,9,Watkins,AVL,FWD
397,10,Semenyo,MCI,MID
379,11,Isak,LIV,FWD
366,12,Wirtz,LIV,MID
400,13,Doku,MCI,MID
481,14,Anderson,MCI,MID
13,15,Rice,ARS,MID
346,16,Calvert-Lewin,LEE,FWD
480,17,Gibbs-White,NFO,MID
428,18,Cunha,MUN,MID
356,19,Virgil,LIV,DEF
427,20,Mbeumo,MUN,MID
552,21,Brobbey,SUN,FWD
208,22,Sarr,CRY,MID
335,23,Stach,LEE,MID
155,24,Enzo,MCI,MID
237,25,Ndiaye,MCI,MID
25,26,Gyökeres,ARS,FWD
236,27,Dewsbury-Hall,EVE,MID
499,28,Pedro Porro,TOT,DEF
61,29,Truffert,BOU,DEF
68,30,Tavernier,BOU,MID
399,31,Cherki,MCI,MID
200,32,Lacroix,CHE,DEF
124,33,Groß,BHA,MID
338,34,Ampadu,LEE,MID
388,35,Guéhi,MCI,DEF
40,36,Rogers,CHE,MID
542,37,E.Le Fée,SUN,MID
203,38,Canvot,CRY,DEF
229,39,Tarkowski,EVE,DEF
41,40,Buendía,AVL,MID
260,41,Wilson,LEE,MID
223,42,Mateta,CRY,FWD
69,43,Scott,BOU,MID
387,44,O'Reilly,MCI,DEF
398,45,Foden,MCI,MID
367,46,Gakpo,LIV,MID
149,47,Colwill,CHE,DEF
439,48,Šeško,MUN,FWD
1,49,Raya,ARS,GKP
512,50,Kudus,TOT,MID
239,51,Garner,EVE,MID
554,52,Tzolis,ARS,MID
526,53,Solanke,TOT,FWD
159,54,Caicedo,CHE,MID
336,55,Okafor,LEE,MID
201,56,Muñoz,NFO,DEF
84,57,Collins,BRE,DEF
95,58,O.Dango,BRE,MID
67,59,Rayan,BOU,MID
371,60,Gravenberch,LIV,MID
358,61,Kerkez,LIV,DEF
533,62,Mukiele,SUN,DEF
122,63,Minteh,BHA,MID
417,64,Dalot,MUN,DEF
465,65,Osula,NEW,FWD
5,66,J.Timber,ARS,DEF
389,67,Matheus N.,MCI,DEF
79,68,Evanilson,BOU,FWD
384,69,Donnarumma,MCI,GKP
295,70,McBurnie,HUL,FWD
60,71,Hill,BOU,DEF
469,72,N.Williams,NFO,DEF
391,73,Gvardiol,MCI,DEF
452,74,Bruno G.,ARS,MID
491,75,Igor Jesus,NFO,FWD
261,76,Iwobi,FUL,MID
88,77,Kayode,BRE,DEF
532,78,Ballard,SUN,DEF
142,79,James,CHE,DEF
253,80,Andersen,FUL,DEF
569,81,Gonzalo,FUL,FWD
78,82,Kroupi.Jr,BOU,MID
350,83,A.Becker,LIV,GKP
113,84,F.Kadıoğlu,BHA,DEF
127,85,Gomez,BHA,MID
157,86,Estêvão,CHE,MID
210,87,Wharton,CRY,MID
96,88,Damsgaard,BRE,MID
535,89,Alderete,SUN,DEF
471,90,Milenković,NFO,DEF
82,91,Kelleher,BRE,GKP
112,92,Van Hecke,TOT,DEF
238,93,Grealish,EVE,MID
249,94,Barry,EVE,FWD
472,95,Murillo,NFO,DEF
529,96,Roefs,SUN,GKP
453,97,Barnes,NEW,MID
204,98,Mitchell,CRY,DEF
431,99,Amad,MUN,MID
28,100,Martinez,CHE,GKP
193,101,Wright,COV,FWD
257,102,Bassey,FUL,DEF
202,103,Richards,CRY,DEF
8,104,Calafiori,ARS,DEF
140,105,Sánchez,CHE,GKP
445,106,Thiaw,NEW,DEF
173,107,Thomas,COV,DEF
233,108,Mykolenko,EVE,DEF
130,109,Wieffer,BHA,DEF
412,110,Lammens,MUN,GKP
313,111,Clarke,IPS,MID
334,112,Muharemović,LEE,DEF
544,113,Xhaka,SUN,MID
32,114,Cash,AVL,DEF
305,115,Davis,IPS,DEF
156,116,Neto,CHE,MID
45,117,McGinn,AVL,MID
125,118,Georginio,BHA,FWD
496,119,Kinsky,TOT,GKP
26,120,Havertz,ARS,FWD
15,121,Ødegaard,ARS,MID
226,122,Pickford,EVE,GKP
121,123,Mitoma,BHA,MID
419,124,Martinez,MUN,DEF
94,125,Schade,BRE,MID
515,126,Maddison,TOT,MID
415,127,Dorgu,MUN,MID
463,128,Woltemade,NEW,FWD
316,130,Emersonn,IPS,FWD
423,131,Shaw,MUN,DEF
447,132,Botman,NEW,DEF
449,133,Hall,NEW,DEF
250,134,Leno,FUL,GKP
455,135,Tonali,TOT,MID
57,136,Petrović,BOU,GKP
525,137,Fernandes,TOT,MID
263,138,Kevin,FUL,MID
458,139,Joelinton,NEW,MID
583,140,Chavarria,CHE,DEF
418,141,Maguire,MUN,DEF
514,142,Tel,TOT,MID
198,143,Henderson,CRY,GKP
503,144,Van de Ven,TOT,DEF
467,145,Sels,NFO,GKP
152,146,Palestra,CHE,DEF
53,147,Manzambi,AVL,MID
109,148,Verbruggen,BHA,GKP
105,149,Anthony,BRE,MID
110,150,Rushworth,COV,GKP
14,151,Eze,ARS,MID
504,152,Vuskovic,BHA,DEF
369,153,Ngumoha,LIV,MID
566,154,Horníček,NEW,GKP
564,155,Scherpen,IPS,GKP
329,156,Rodon,LEE,DEF
175,157,van Ewijk,COV,DEF
429,158,Rashford,MUN,MID
385,159,Trafford,LEE,GKP
482,160,Hudson-Odoi,NFO,MID
264,161,Bobb,FUL,MID
230,162,Branthwaite,EVE,DEF
450,163,Livramento,NEW,DEF
214,164,Kamada,CRY,MID
545,165,Sadiki,SUN,MID
70,166,Kluivert,BOU,MID
584,167,Hamer,COV,MID
581,168,Diomande,NFO,DEF
254,169,Robinson,FUL,DEF
464,170,Wissa,NEW,FWD
473,171,Aina,NFO,DEF
315,172,Fatawu,IPS,MID
265,173,Berge,FUL,MID
572,174,Florentino,IPS,MID
327,175,Bijol,LEE,DEF
129,176,Ayari,BHA,MID
31,177,Konsa,ARS,DEF
571,178,Tzolakis,HUL,GKP
534,179,Hume,SUN,DEF
488,180,I.Sangaré,NFO,MID
267,181,Lukić,IPS,MID
123,182,Hinshelwood,BHA,MID
380,183,Ekitiké,LIV,FWD
16,184,Madueke,ARS,MID
115,185,De Cuyper,BHA,DEF
506,186,Udogie,TOT,DEF
377,187,Munoz,LIV,MID
11,188,Mosquera,ARS,DEF
18,189,Martinelli,ARS,MID
102,190,Yarmoliuk,BRE,MID
211,191,Yeremy,CRY,MID
160,192,Garnacho,AVL,MID
582,193,Madjo,AVL,FWD
138,194,Kostoulas,BHA,FWD
34,195,Pau,AVL,DEF
483,196,Ndoye,NFO,MID
401,197,Marmoush,TOT,FWD
527,198,Richarlison,TOT,FWD
556,199,M.Sangaré,BRE,MID
10,200,White,ARS,DEF
