element_id,rank,web_name,club,pos
411,1,Haaland,MCI,FWD
426,2,B.Fernandes,MUN,MID
12,3,Saka,ARS,MID
154,4,Palmer,CHE,MID
379,5,Isak,LIV,FWD
397,6,Semenyo,MCI,MID
4,7,Gabriel,ARS,DEF
480,8,Gibbs-White,NFO,MID
106,9,Thiago,BRE,FWD
55,10,Watkins,AVL,FWD
427,11,Mbeumo,MUN,MID
428,12,Cunha,MUN,MID
13,13,Rice,ARS,MID
165,14,João Pedro,CHE,FWD
40,15,Rogers,CHE,MID
399,16,Cherki,MCI,MID
25,17,Gyökeres,ARS,FWD
366,18,Wirtz,LIV,MID
380,19,Ekitiké,LIV,FWD
400,20,Doku,MCI,MID
78,21,Kroupi.Jr,BOU,MID
26,22,Havertz,ARS,FWD
368,23,Szoboszlai,LIV,MID
155,24,Enzo,CHE,MID
452,25,Bruno G.,ARS,MID
367,26,Gakpo,LIV,MID
398,27,Foden,MCI,MID
439,28,Šeško,MUN,FWD
401,29,Marmoush,MCI,FWD
429,30,Rashford,MUN,MID
481,31,Anderson,MCI,MID
356,32,Virgil,LIV,DEF
260,33,Wilson,LEE,MID
387,34,O'Reilly,MCI,DEF
236,35,Dewsbury-Hall,EVE,MID
5,36,J.Timber,ARS,DEF
95,37,O.Dango,BRE,MID
156,38,Neto,CHE,MID
208,39,Sarr,CRY,MID
223,40,Mateta,CRY,FWD
14,41,Eze,ARS,MID
238,42,Grealish,MCI,MID
512,43,Kudus,TOT,MID
15,44,Ødegaard,ARS,MID
16,45,Madueke,ARS,MID
402,46,Rodrigo,MCI,MID
67,47,Rayan,BOU,MID
157,48,Estêvão,CHE,MID
18,49,Martinelli,ARS,MID
403,50,Savinho,MCI,MID
515,51,Maddison,TOT,MID
166,52,N.Jackson,CHE,FWD
377,53,Munoz,LIV,MID
521,54,Kulusevski,TOT,MID
554,55,Tzolis,ARS,MID
388,56,Guéhi,MCI,DEF
498,57,Senesi,TOT,DEF
229,58,Tarkowski,EVE,DEF
1,59,Raya,ARS,GKP
239,60,Garner,EVE,MID
200,61,Lacroix,CHE,DEF
389,62,Matheus N.,MCI,DEF
542,63,E.Le Fée,SUN,MID
371,64,Gravenberch,LIV,MID
346,65,Calvert-Lewin,LEE,FWD
6,66,Saliba,ARS,DEF
68,67,Tavernier,BOU,MID
335,68,Stach,LEE,MID
69,69,Scott,BOU,MID
525,70,Fernandes,TOT,MID
237,71,Ndiaye,EVE,MID
136,72,Welbeck,CHE,FWD
94,73,Schade,BRE,MID
527,74,Richarlison,TOT,FWD
122,75,Minteh,BHA,MID
79,76,Evanilson,BOU,FWD
491,77,Igor Jesus,NFO,FWD
336,78,Okafor,LEE,MID
463,79,Woltemade,NEW,FWD
453,80,Barnes,NEW,MID
41,81,Buendía,AVL,MID
415,82,Dorgu,MUN,MID
404,83,Reijnders,MCI,MID
552,84,Brobbey,SUN,FWD
123,85,Hinshelwood,BHA,MID
431,86,Amad,MUN,MID
482,87,Hudson-Odoi,NFO,MID
457,88,J.Murphy,NEW,MID
513,89,Xavi,TOT,MID
514,90,Tel,TOT,MID
465,91,Osula,NEW,FWD
222,92,Strand Larsen,CRY,FWD
43,93,Tielemans,MUN,MID
17,94,Merino,ARS,MID
209,95,Johnson,EVE,MID
121,96,Mitoma,BHA,MID
160,97,Garnacho,AVL,MID
454,98,Elanga,NEW,MID
369,99,Ngumoha,LIV,MID
70,100,Kluivert,BOU,MID
490,101,Wood,NFO,FWD
526,102,Solanke,TOT,FWD
464,103,Wissa,NEW,FWD
158,104,Gittens,CHE,MID
27,105,G.Jesus,ARS,FWD
53,106,Manzambi,AVL,MID
81,107,Rodríguez,BOU,FWD
105,108,Anthony,BRE,MID
461,109,Touré,NEW,MID
569,110,Gonzalo,FUL,FWD
593,111,David,BHA,FWD
61,112,Truffert,BOU,DEF
533,113,Mukiele,SUN,DEF
143,114,Chalobah,CHE,DEF
201,115,Muñoz,CRY,DEF
226,116,Pickford,EVE,GKP
384,117,Donnarumma,MCI,GKP
338,118,Ampadu,LEE,MID
19,119,Zubimendi,ARS,MID
84,120,Collins,BRE,DEF
337,121,Aaronson,LEE,MID
544,122,Xhaka,SUN,MID
471,123,Milenković,NFO,DEF
499,124,Pedro Porro,TOT,DEF
86,125,Lewis-Potter,BRE,MID
142,126,James,CHE,DEF
96,127,Damsgaard,BRE,MID
390,128,Rúben,MCI,DEF
210,129,Wharton,CRY,MID
60,130,Hill,BOU,DEF
159,131,Caicedo,CHE,MID
8,132,Calafiori,ARS,DEF
372,133,Mac Allister,LIV,MID
248,134,Beto,EVE,FWD
45,135,McGinn,AVL,MID
261,136,Iwobi,FUL,MID
97,137,Jensen,BRE,MID
129,138,Ayari,BHA,MID
249,139,Barry,EVE,FWD
350,140,A.Becker,LIV,GKP
9,141,Hincapie,ARS,DEF
125,142,Georginio,BHA,FWD
516,143,Bentancur,TOT,MID
54,144,Gomes,AVL,MID
358,145,Kerkez,LIV,DEF
472,146,Murillo,NFO,DEF
549,147,Talbi,SUN,MID
484,148,Hutchinson,NFO,MID
373,149,C.Jones,LIV,MID
455,150,Tonali,TOT,MID
262,151,Smith Rowe,FUL,MID
391,152,Gvardiol,MCI,DEF
124,153,Groß,BHA,MID
211,154,Yeremy,CRY,MID
553,155,Isidor,SUN,FWD
347,156,Nmecha,LEE,FWD
432,157,Mainoo,MUN,MID
458,158,Joelinton,NEW,MID
459,159,L.Miley,NEW,MID
393,160,Khusanov,MCI,DEF
543,161,Diarra,SUN,MID
268,162,King,FUL,MID
357,163,Frimpong,LIV,DEF
405,164,N.Gonzalez,MCI,MID
392,165,Aït-Nouri,MCI,DEF
430,166,Mount,MUN,MID
241,167,McNeil,CRY,MID
483,168,Ndoye,NFO,MID
263,169,Kevin,FUL,MID
520,170,Bergvall,TOT,MID
517,171,Odobert,TOT,MID
10,172,White,ARS,DEF
167,173,Delap,CHE,FWD
42,174,Guessand,CRY,MID
519,175,Gallagher,TOT,MID
492,176,Awoniyi,COV,FWD
264,177,Bobb,FUL,MID
440,178,Zirkzee,MUN,FWD
11,179,Mosquera,ARS,DEF
370,180,Chiesa,LIV,MID
271,181,Muniz,FUL,FWD
138,182,Kostoulas,BHA,FWD
230,183,Branthwaite,EVE,DEF
7,184,Lewis-Skelly,ARS,MID
80,185,Enes Ünal,BOU,FWD
485,186,Bakwa,NFO,MID
56,187,Abraham,AVL,FWD
224,188,Nketiah,CRY,FWD
44,189,Bailey,AVL,MID
245,190,Dibling,EVE,MID
486,191,McAtee,NFO,MID
20,192,Dowman,ARS,MID
126,193,O'Riley,BHA,MID
137,194,Tzimas,BHA,FWD
242,195,George,EVE,MID
24,196,Nelson,ARS,MID
406,197,Kovačić,MCI,MID
493,198,Kalimuendo,NFO,FWD
22,199,Nwaneri,ARS,MID
383,200,Elliott,LIV,MID
23,201,Fábio Vieira,ARS,MID
108,202,Wilson,BRE,FWD
152,203,Palestra,CHE,DEF
164,204,Quenda,CHE,MID
186,205,Mason-Clark,COV,MID
188,206,Torp,COV,MID
190,207,Tchaouna,COV,MID
193,208,Wright,COV,FWD
247,209,Hackney,EVE,MID
295,210,McBurnie,HUL,FWD
313,211,Clarke,IPS,MID
315,212,Fatawu,IPS,MID
316,213,Emersonn,IPS,FWD
563,214,Maeda,IPS,MID
556,215,M.Sangaré,BRE,MID
570,216,Palacios,FUL,MID
318,217,Philogene,IPS,MID
568,218,Barco,CHE,MID
581,219,Diomande,NFO,DEF
580,220,Araujo,LIV,DEF
578,221,Mudryk,CHE,MID
584,222,Hamer,COV,MID
582,223,Madjo,AVL,FWD
591,224,Enciso,IPS,MID
112,225,Van Hecke,TOT,DEF
82,226,Kelleher,BRE,GKP
529,227,Roefs,SUN,GKP
198,228,Henderson,CRY,GKP
231,229,Keane,EVE,DEF
202,230,Richards,CRY,DEF
469,231,N.Williams,NFO,DEF
445,232,Thiaw,NEW,DEF
535,233,Alderete,SUN,DEF
253,234,Andersen,FUL,DEF
28,235,Martinez,AVL,GKP
232,236,O'Brien,EVE,DEF
503,237,Van de Ven,TOT,DEF
532,238,Ballard,SUN,DEF
85,239,Van den Berg,BRE,DEF
140,240,Sánchez,CHE,GKP
417,241,Dalot,MUN,DEF
412,242,Lammens,MUN,GKP
328,243,Struijk,BHA,DEF
467,244,Sels,NFO,GKP
102,245,Yarmoliuk,BRE,MID
327,246,Bijol,LEE,DEF
127,247,Gomez,BHA,MID
144,248,Gusto,CHE,DEF
442,249,Pope,NEW,GKP
130,250,Wieffer,BHA,DEF
448,251,Burn,NEW,DEF
265,252,Berge,FUL,MID
500,253,Romero,TOT,DEF
418,254,Maguire,MUN,DEF
447,255,Botman,NEW,DEF
488,256,I.Sangaré,NFO,MID
545,257,Sadiki,SUN,MID
449,258,Hall,NEW,DEF
73,259,Adams,BOU,MID
48,260,Onana,AVL,MID
101,261,Henderson,CHE,MID
98,262,Janelt,BRE,MID
203,263,Canvot,CRY,DEF
518,264,P.M.Sarr,TOT,MID
213,265,Lerma,CRY,MID
240,266,Iroegbunam,EVE,MID
77,267,Adli,BOU,MID
214,268,Kamada,CRY,MID
267,269,Lukić,IPS,MID
345,270,Tanaka,LEE,MID
145,271,Fofana,CHE,DEF
501,272,Danso,TOT,DEF
456,273,J.Ramsey,NEW,MID
47,274,Kamara,AVL,MID
522,275,Gray,TOT,MID
74,276,Brooks,BOU,MID
450,277,Livramento,NEW,DEF
46,278,Barkley,AVL,MID
131,279,Baleba,BHA,MID
339,280,Longstaff,LEE,MID
344,281,Gruev,LEE,MID
420,282,Yoro,MUN,DEF
470,283,Morato,NFO,DEF
419,284,Martinez,MUN,DEF
446,285,Schär,NEW,DEF
487,286,Dominguez,NFO,MID
75,287,Christie,BOU,MID
162,288,Andrey Santos,MUN,MID
62,289,Diakité,BOU,DEF
416,290,De Ligt,MUN,DEF
360,291,Bradley,LIV,DEF
266,292,Cairney,FUL,MID
35,293,Bogarde,AVL,MID
71,294,Cook,BOU,MID
433,295,Ugarte,MUN,MID
460,296,Willock,NEW,MID
215,297,Devenny,CRY,MID
246,298,Röhl,EVE,MID
548,299,Rigg,SUN,MID
351,300,Mamardashvili,LIV,GKP
546,301,Adingra,SUN,MID
359,302,Gomez,LIV,DEF
341,303,Gnonto,LEE,MID
243,304,Alcaraz,EVE,MID
343,305,James,LEE,MID
244,306,Armstrong,EVE,MID
63,307,Milosavljević,BOU,DEF
225,308,Uche,CRY,FWD
348,309,Piroe,LEE,FWD
547,310,Mundle,SUN,MID
100,311,Carvalho,BRE,MID
161,312,Lavia,CHE,MID
168,313,Marc Guiu,CHE,FWD
385,314,Trafford,LEE,GKP
551,315,Angulo,SUN,MID
104,316,Onyeka,COV,MID
342,317,Harrison,LEE,MID
374,318,Endo,LIV,MID
72,319,Gannon-Doak,BOU,MID
141,320,Jörgensen,CHE,GKP
76,321,Tóth.A,BOU,MID
149,322,Colwill,CHE,DEF
21,323,Nørgaard,EVE,MID
375,324,Nyoni,LIV,MID
133,325,Watson,BHA,MID
394,326,Alleyne,MCI,DEF
216,327,Esse,CRY,MID
52,328,Alysson,AVL,MID
128,329,Buonanotte,BHA,MID
434,330,J.Fletcher,MUN,MID
435,331,Lacey,MUN,MID
2,332,Arrizabalaga,ARS,GKP
103,333,Dasilva,BRE,MID
99,334,Milambo,BRE,MID
550,335,Jocelin.T,SUN,MID
3,336,Meslier,ARS,GKP
49,337,Iling Jr,AVL,MID
120,338,Svoboda,BHA,DEF
135,339,Yohanna,BHA,MID
139,340,Ferguson,BHA,FWD
170,341,Emegha,CHE,FWD
183,342,Rudoni,COV,MID
184,343,Grimes,COV,MID
185,344,Sakamoto,COV,MID
187,345,Eccles,COV,MID
194,346,Thomas-Asante,COV,FWD
195,347,Simms,COV,FWD
196,348,Markelo,COV,FWD
217,349,M.França,CRY,MID
218,350,Doucouré,CRY,MID
219,351,J.Rak-Sakyi,CRY,MID
227,352,Travers,EVE,GKP
286,353,Belloumi,HUL,MID
287,354,Millar,HUL,MID
292,355,Ömür,HUL,MID
293,356,Kamara,HUL,MID
296,357,Akintola,HUL,MID
309,358,Núñez,IPS,MID
310,359,Matusiwa,IPS,MID
311,360,Burns,IPS,MID
314,361,Ogbene,IPS,MID
317,362,Hirst,IPS,FWD
319,363,Szmodics,IPS,MID
320,364,Akpom,IPS,FWD
322,365,Al-Hamadi,IPS,FWD
324,366,Mehmeti,IPS,MID
334,367,Muharemović,LEE,DEF
340,368,Gelhardt,HUL,MID
362,369,Jacquet,LIV,DEF
364,370,Tsimikas,LIV,DEF
376,371,Bajcetic,LIV,MID
381,372,Koumas,LIV,MID
407,373,Echeverri,MCI,MID
408,374,Phillips,MCI,MID
410,375,Monga,MCI,MID
436,376,Collyer,MUN,MID
567,377,Schlager,NFO,MID
566,378,Horníček,NEW,GKP
565,379,Bamba,NEW,MID
462,380,Steur,NEW,MID
561,381,Morita,HUL,MID
504,382,Vuskovic,BHA,DEF
555,383,Silva,BOU,DEF
523,384,Moore,TOT,MID
572,385,Florentino,IPS,MID
577,386,Stroud,HUL,MID
576,387,Hjertø-Dahl,HUL,MID
579,388,Charles,FUL,MID
583,389,Chavarria,CHE,DEF
574,390,Yirenkyi,COV,MID
587,391,Rulli,MCI,GKP
589,392,Gourna-Douath,HUL,MID
594,393,Gozo,CRY,MID
588,394,Khalaili,CRY,DEF
598,395,Cherif,COV,FWD
597,396,Suzuki,AVL,GKP
600,397,Osman,BHA,MID
204,398,Mitchell,CRY,DEF
109,399,Verbruggen,BHA,GKP
57,400,Petrović,BOU,GKP
250,401,Leno,FUL,GKP
113,402,F.Kadıoğlu,BHA,DEF
32,403,Cash,AVL,DEF
88,404,Kayode,BRE,DEF
423,405,Shaw,MUN,DEF
534,406,Hume,SUN,DEF
329,407,Rodon,LEE,DEF
257,408,Bassey,FUL,DEF
31,409,Konsa,ARS,DEF
116,410,Dunk,BHA,DEF
30,411,Digne,AVL,DEF
330,412,Bogle,LEE,DEF
233,413,Mykolenko,EVE,DEF
269,414,Sessegnon,FUL,DEF
332,415,Justin,LEE,DEF
494,416,Vicario,TOT,GKP
115,417,De Cuyper,BHA,DEF
256,418,Tete,FUL,DEF
505,419,Spence,TOT,DEF
87,420,Ajer,BRE,DEF
536,421,Reinildo,SUN,DEF
325,422,Darlow,MUN,GKP
331,423,Gudmundsson,LEE,DEF
473,424,Aina,NFO,DEF
254,425,Robinson,FUL,DEF
34,426,Pau,AVL,DEF
258,427,Castagne,FUL,DEF
64,428,Smith,BOU,DEF
502,429,Robertson,TOT,DEF
36,430,Maatsen,AVL,DEF
422,431,Mazraoui,MUN,DEF
89,432,Henry,BRE,DEF
33,433,Mings,AVL,DEF
212,434,Hughes,CRY,MID
326,435,Perri,LEE,GKP
421,436,Heaven,MUN,DEF
114,437,Boscagli,BHA,DEF
151,438,Acheampong,CHE,DEF
255,439,J.Cuenca,FUL,DEF
475,440,Savona,NFO,DEF
90,441,Hickey,BRE,DEF
147,442,Tosin,CHE,DEF
489,443,Yates,NFO,MID
37,444,Lindelöf,AVL,DEF
506,445,Udogie,TOT,DEF
333,446,Bornauw,LEE,DEF
234,447,Patterson,EVE,DEF
206,448,Chadi Riad,CRY,DEF
496,449,Kinsky,TOT,GKP
148,450,Hato,CHE,DEF
395,451,Lewis,MCI,DEF
29,452,M.Bizot,AVL,GKP
531,453,Ellborg,SUN,GKP
270,454,Reed,FUL,MID
91,455,Pinnock,BRE,DEF
474,456,Jair Cunha,NFO,DEF
413,457,Bayindir,MUN,GKP
468,458,John,NFO,GKP
478,459,Netz,NFO,DEF
117,460,Coppola,BHA,DEF
146,461,B.Badiashile,CHE,DEF
199,462,Benitez,CRY,GKP
118,463,Igor,BHA,DEF
205,464,Sosa,CRY,DEF
272,465,Kusi-Asare,FUL,FWD
132,466,Howell,BHA,MID
150,467,M.Sarr,CHE,DEF
51,468,George Hemmings,AVL,MID
220,469,Cardines,CRY,DEF
221,470,Drakes-Thomas,CRY,MID
409,471,Mukasa,MCI,MID
438,472,Fletcher,MUN,MID
528,473,Scarlett,TOT,FWD
537,474,Seelt,SUN,DEF
50,475,Burrowes,AVL,MID
83,476,Valdimarsson,BRE,GKP
107,477,Furo,BRE,FWD
134,478,Oriola,BHA,MID
163,479,D.Essugo,CHE,MID
169,480,Mheuka,CHE,FWD
437,481,Bendito Mantato,MUN,MID
466,482,Neave,NEW,FWD
524,483,Olusesi,TOT,MID
65,484,J.Araujo,BOU,DEF
92,485,Ji-soo,BRE,DEF
93,486,Schuster,BRE,DEF
110,487,Rushworth,COV,GKP
119,488,Costinha,BHA,DEF
153,489,Disasi,CHE,DEF
172,490,Wilson,COV,GKP
189,491,Shepherd,COV,MID
191,492,Borges Rodrigues,COV,MID
192,493,Andrews,COV,MID
197,494,Bassette,COV,FWD
207,495,Mingueza,CRY,DEF
228,496,King,EVE,GKP
274,497,Butland,HUL,GKP
288,498,Dowell,HUL,MID
289,499,Crooks,HUL,MID
290,500,Slater,HUL,MID
291,501,Matazo,HUL,MID
294,502,Zambrano,HUL,MID
297,503,Gyabi,HUL,MID
298,504,Destan,HUL,FWD
299,505,Burstow,HUL,FWD
300,506,Walton,IPS,GKP
312,507,Taylor,IPS,MID
321,508,Walle Egeli,IPS,FWD
323,509,McAteer,IPS,MID
349,510,Mateo Joseph,LEE,FWD
378,511,McConnell,LIV,MID
382,512,Danns,LIV,FWD
386,513,Bettinelli,MCI,GKP
396,514,Vitor Reis,MCI,DEF
564,515,Scherpen,IPS,GKP
441,516,Obi,MUN,FWD
562,517,Van Oevelen,IPS,GKP
443,518,Gillespie,NEW,GKP
558,519,Anselmino,CHE,DEF
557,520,Penders,CHE,GKP
444,521,Jaouen,NEW,GKP
507,522,Phillips,TOT,DEF
541,523,Meunier,SUN,DEF
571,524,Tzolakis,HUL,GKP
590,525,Benda,NFO,GKP
595,526,Dedić,NEW,DEF
599,527,Elvedi,LEE,DEF
575,528,Tomiyasu,CRY,DEF
573,529,Sanchez,BOU,DEF
596,530,Ruggeri,AVL,DEF
497,531,Dubravka,TOT,GKP
259,532,Diop,IPS,DEF
539,533,O'Nien,SUN,DEF
508,534,Davies,TOT,DEF
352,535,Woodman,LIV,GKP
38,536,A.García,AVL,DEF
66,537,Soler,BOU,DEF
477,538,Abbott,NFO,DEF
511,539,Souza,TOT,DEF
451,540,A.Murphy,NEW,DEF
425,541,Fredricson,MUN,DEF
509,542,Byfield,TOT,DEF
510,543,Rowswell,TOT,DEF
540,544,Masuaku,SUN,DEF
39,545,Nedeljkovic,AVL,DEF
58,546,Forster,BOU,GKP
59,547,Dennis,BOU,GKP
111,548,Steele,BHA,GKP
171,549,Dovin,COV,GKP
173,550,Thomas,COV,DEF
174,551,Kitching,COV,DEF
175,552,van Ewijk,COV,DEF
176,553,Dasilva,COV,DEF
177,554,Kesler-Hayden,COV,DEF
178,555,Bidwell,COV,DEF
179,556,Latibeaudiere,COV,DEF
180,557,Woolfenden,COV,DEF
181,558,Brau,COV,DEF
182,559,Amenda,COV,DEF
235,560,Aznou,EVE,DEF
251,561,Lecomte,FUL,GKP
252,562,McNally,FUL,GKP
273,563,Phillips,HUL,GKP
275,564,Cartwright,HUL,GKP
276,565,Lo-Tutala,HUL,GKP
277,566,Egan,HUL,DEF
278,567,Hughes,HUL,DEF
279,568,Ajayi,HUL,DEF
280,569,Coyle,HUL,DEF
281,570,Drameh,HUL,DEF
282,571,Giles,HUL,DEF
283,572,Jacob,HUL,DEF
284,573,McCarthy,HUL,DEF
285,574,McNair,HUL,DEF
301,575,Palmer,IPS,GKP
302,576,Button,IPS,GKP
303,577,Kipré,IPS,DEF
304,578,O'Shea,IPS,DEF
305,579,Davis,IPS,DEF
306,580,Greaves,IPS,DEF
307,581,Johnson,IPS,DEF
308,582,Furlong,IPS,DEF
353,583,Pecsi,LIV,GKP
354,584,Jaros,LIV,GKP
355,585,Davies,LIV,GKP
361,586,Lucky,LIV,DEF
363,587,Leoni,LIV,DEF
365,588,Ramsay,LIV,DEF
414,589,Heaton,MUN,GKP
560,590,Targett,HUL,DEF
559,591,Matthews,CRY,GKP
424,592,Amass,MUN,DEF
476,593,O.Richards,NFO,DEF
479,594,Bindon,NFO,DEF
495,595,Austin,TOT,GKP
530,596,Patterson,SUN,GKP
586,597,Mendy,HUL,DEF
592,598,Ouattara,IPS,DEF
585,599,Herrington,HUL,DEF
538,600,Hjelde,SUN,DEF
