element_id,rank,web_name,club,pos
411,1,Haaland,MCI,FWD
426,2,B.Fernandes,MUN,MID
4,3,Gabriel,ARS,DEF
165,4,João Pedro,CHE,FWD
12,5,Saka,ARS,MID
154,6,Palmer,CHE,MID
379,7,Isak,LIV,FWD
368,8,Szoboszlai,LIV,MID
427,9,Mbeumo,MUN,MID
391,10,Gvardiol,MCI,DEF
366,11,Wirtz,LIV,MID
106,12,Thiago,BRE,FWD
25,13,Gyökeres,ARS,FWD
397,14,Semenyo,MCI,MID
356,15,Virgil,LIV,DEF
428,16,Cunha,MUN,MID
55,17,Watkins,AVL,FWD
480,18,Gibbs-White,NFO,MID
398,19,Foden,MCI,MID
223,20,Mateta,CRY,FWD
13,21,Rice,ARS,MID
469,22,N.Williams,NFO,DEF
40,23,Rogers,CHE,MID
367,24,Gakpo,LIV,MID
346,25,Calvert-Lewin,LEE,FWD
388,26,Guéhi,MCI,DEF
201,27,Muñoz,CRY,DEF
481,28,Anderson,MCI,MID
229,29,Tarkowski,EVE,DEF
491,30,Igor Jesus,NFO,FWD
208,31,Sarr,CRY,MID
200,32,Lacroix,CHE,DEF
15,33,Ødegaard,ARS,MID
452,34,Bruno G.,ARS,MID
124,35,Groß,BHA,MID
527,36,Richarlison,TOT,FWD
260,37,Wilson,LEE,MID
237,38,Ndiaye,EVE,MID
61,39,Truffert,BOU,DEF
445,40,Thiaw,NEW,DEF
552,41,Brobbey,SUN,FWD
387,42,O'Reilly,MCI,DEF
155,43,Enzo,CHE,MID
556,44,M.Sangaré,BRE,MID
471,45,Milenković,NFO,DEF
472,46,Murillo,NFO,DEF
79,47,Evanilson,BOU,FWD
499,48,Pedro Porro,TOT,DEF
418,49,Maguire,MUN,DEF
542,50,E.Le Fée,SUN,MID
357,51,Frimpong,LIV,DEF
112,52,Van Hecke,TOT,DEF
503,53,Van de Ven,TOT,DEF
358,54,Kerkez,LIV,DEF
439,55,Šeško,MUN,FWD
464,56,Wissa,NEW,FWD
68,57,Tavernier,BOU,MID
449,58,Hall,NEW,DEF
8,59,Calafiori,ARS,DEF
11,60,Mosquera,ARS,DEF
295,61,McBurnie,HUL,FWD
496,62,Kinsky,TOT,GKP
1,63,Raya,ARS,GKP
350,64,A.Becker,LIV,GKP
384,65,Donnarumma,MCI,GKP
226,66,Pickford,EVE,GKP
82,67,Kelleher,BRE,GKP
529,68,Roefs,SUN,GKP
32,69,Cash,AVL,DEF
84,70,Collins,BRE,DEF
504,71,Vuskovic,BHA,DEF
26,72,Havertz,ARS,FWD
569,73,Gonzalo,FUL,FWD
316,74,Emersonn,IPS,FWD
526,75,Solanke,TOT,FWD
554,76,Tzolis,ARS,MID
69,77,Scott,BOU,MID
115,78,De Cuyper,BHA,DEF
173,79,Thomas,COV,DEF
306,80,Greaves,IPS,DEF
539,81,O'Nien,SUN,DEF
328,82,Struijk,BHA,DEF
204,83,Mitchell,CRY,DEF
277,84,Egan,HUL,DEF
563,85,Maeda,IPS,MID
572,86,Florentino,IPS,MID
335,87,Stach,LEE,MID
516,88,Bentancur,TOT,MID
584,89,Hamer,COV,MID
492,90,Awoniyi,COV,FWD
193,91,Wright,COV,FWD
109,92,Verbruggen,BHA,GKP
412,93,Lammens,MUN,GKP
140,94,Sánchez,CHE,GKP
57,95,Petrović,BOU,GKP
574,96,Yirenkyi,COV,MID
423,97,Shaw,MUN,DEF
304,98,O'Shea,IPS,DEF
259,99,Diop,IPS,DEF
195,100,Simms,COV,FWD
