element_id,rank,web_name,club,pos
411,1,Haaland,MCI,FWD
426,2,B.Fernandes,MUN,MID
480,3,Gibbs-White,NFO,MID
397,4,Semenyo,MCI,MID
12,5,Saka,ARS,MID
368,6,Szoboszlai,LIV,MID
4,7,Gabriel,ARS,DEF
428,8,Cunha,MUN,MID
427,9,Mbeumo,MUN,MID
154,10,Palmer,CHE,MID
469,11,N.Williams,NFO,DEF
106,12,Thiago,BRE,FWD
356,13,Virgil,LIV,DEF
40,14,Rogers,CHE,MID
1,15,Raya,ARS,GKP
387,16,O'Reilly,MCI,DEF
55,17,Watkins,AVL,FWD
61,18,Truffert,BOU,DEF
165,19,João Pedro,CHE,FWD
236,20,Dewsbury-Hall,EVE,MID
366,21,Wirtz,LIV,MID
229,22,Tarkowski,EVE,DEF
237,23,Ndiaye,EVE,MID
499,24,Pedro Porro,TOT,DEF
379,25,Isak,LIV,FWD
384,26,Donnarumma,MCI,GKP
389,27,Matheus N.,MCI,DEF
399,28,Cherki,MCI,MID
445,29,Thiaw,NEW,DEF
67,30,Rayan,BOU,MID
367,31,Gakpo,LIV,MID
68,32,Tavernier,BOU,MID
13,33,Rice,ARS,MID
542,34,E.Le Fée,SUN,MID
202,35,Richards,CRY,DEF
371,36,Gravenberch,LIV,MID
346,37,Calvert-Lewin,LEE,FWD
127,38,Gomez,BHA,MID
400,39,Doku,MCI,MID
208,40,Sarr,CRY,MID
45,41,McGinn,AVL,MID
233,42,Mykolenko,EVE,DEF
41,43,Buendía,AVL,MID
226,44,Pickford,EVE,GKP
204,45,Mitchell,CRY,DEF
82,46,Kelleher,BRE,GKP
398,47,Foden,MCI,MID
5,48,J.Timber,ARS,DEF
88,49,Kayode,BRE,DEF
350,50,A.Becker,LIV,GKP
529,51,Roefs,SUN,GKP
230,52,Branthwaite,EVE,DEF
84,53,Collins,BRE,DEF
358,54,Kerkez,LIV,DEF
533,55,Mukiele,SUN,DEF
472,56,Murillo,NFO,DEF
261,57,Iwobi,FUL,MID
566,58,Horníček,NEW,GKP
112,59,Van Hecke,TOT,DEF
385,60,Trafford,LEE,GKP
123,61,Hinshelwood,BHA,MID
57,62,Petrović,BOU,GKP
467,63,Sels,NFO,GKP
391,64,Gvardiol,MCI,DEF
232,65,O'Brien,EVE,DEF
471,66,Milenković,NFO,DEF
481,67,Anderson,MCI,MID
113,68,F.Kadıoğlu,BHA,DEF
140,69,Sánchez,CHE,GKP
8,70,Calafiori,ARS,DEF
372,71,Mac Allister,LIV,MID
32,72,Cash,AVL,DEF
95,73,O.Dango,BRE,MID
198,74,Henderson,CRY,GKP
491,75,Igor Jesus,NFO,FWD
439,76,Šeško,MUN,FWD
109,77,Verbruggen,BHA,GKP
239,78,Garner,EVE,MID
535,79,Alderete,SUN,DEF
496,80,Kinsky,TOT,GKP
26,81,Havertz,ARS,FWD
110,82,Rushworth,COV,GKP
452,83,Bruno G.,ARS,MID
155,84,Enzo,CHE,MID
431,85,Amad,MUN,MID
569,86,Gonzalo,FUL,FWD
412,87,Lammens,MUN,GKP
94,88,Schade,BRE,MID
69,89,Scott,BOU,MID
338,90,Ampadu,LEE,MID
43,91,Tielemans,MUN,MID
335,92,Stach,LEE,MID
250,93,Leno,FUL,GKP
498,94,Senesi,TOT,DEF
544,95,Xhaka,SUN,MID
124,96,Groß,BHA,MID
490,97,Wood,NFO,FWD
390,98,Rúben,MCI,DEF
459,99,L.Miley,NEW,MID
532,100,Ballard,SUN,DEF
453,101,Barnes,NEW,MID
78,102,Kroupi.Jr,BOU,MID
15,103,Ødegaard,ARS,MID
223,104,Mateta,CRY,FWD
159,105,Caicedo,CHE,MID
417,106,Dalot,MUN,DEF
96,107,Damsgaard,BRE,MID
552,108,Brobbey,SUN,FWD
203,109,Canvot,CRY,DEF
260,110,Wilson,LEE,MID
515,111,Maddison,TOT,MID
129,112,Ayari,BHA,MID
388,113,Guéhi,MCI,DEF
247,114,Hackney,EVE,MID
449,115,Hall,NEW,DEF
173,116,Thomas,COV,DEF
419,117,Martinez,MUN,DEF
473,118,Aina,NFO,DEF
295,119,McBurnie,HUL,FWD
554,120,Tzolis,ARS,MID
53,121,Manzambi,AVL,MID
11,122,Mosquera,ARS,DEF
556,123,Sangaré,BRE,MID
184,124,Grimes,COV,MID
31,125,Konsa,AVL,DEF
125,126,Georginio,BHA,FWD
526,127,Solanke,TOT,FWD
465,128,Osula,NEW,FWD
254,129,Robinson,FUL,DEF
329,130,Rodon,LEE,DEF
175,131,van Ewijk,COV,DEF
455,132,Tonali,TOT,MID
534,133,Hume,SUN,DEF
564,134,Scherpen,IPS,GKP
115,135,De Cuyper,BHA,DEF
543,136,Diarra,SUN,MID
253,137,Andersen,FUL,DEF
210,138,Wharton,CRY,MID
584,139,Hamer,COV,MID
121,140,Mitoma,BHA,MID
257,141,Bassey,FUL,DEF
555,142,Silva,BOU,DEF
330,143,Bogle,LEE,DEF
122,144,Minteh,BHA,MID
262,145,Smith Rowe,FUL,MID
47,146,Kamara,AVL,MID
200,147,Lacroix,CHE,DEF
36,148,Maatsen,AVL,DEF
87,149,Ajer,BRE,DEF
142,150,James,CHE,DEF
334,151,Muharemović,LEE,DEF
79,152,Evanilson,BOU,FWD
597,153,Suzuki,AVL,GKP
70,154,Kluivert,BOU,MID
97,155,Jensen,BRE,MID
211,156,Yeremy,CRY,MID
60,157,Hill,BOU,DEF
463,158,Woltemade,NEW,FWD
25,159,Gyökeres,ARS,FWD
286,160,Belloumi,HUL,MID
483,161,Ndoye,NFO,MID
54,162,Gomes,AVL,MID
573,163,Sanchez,BOU,DEF
249,164,Barry,EVE,FWD
14,165,Eze,ARS,MID
571,166,Tzolakis,HUL,GKP
305,167,Davis,IPS,DEF
503,168,Van de Ven,TOT,DEF
447,169,Botman,NEW,DEF
313,170,Clarke,IPS,MID
315,171,Fatawu,IPS,MID
357,172,Frimpong,LIV,DEF
304,173,O'Shea,IPS,DEF
545,174,Sadiki,SUN,MID
160,175,Garnacho,AVL,MID
214,177,Kamada,CRY,MID
581,178,Diomande,NFO,DEF
340,179,Gelhardt,HUL,MID
527,180,Richarlison,TOT,FWD
591,181,Enciso,IPS,MID
458,182,Joelinton,NEW,MID
551,183,Angulo,SUN,MID
525,184,Fernandes,TOT,MID
512,185,Kudus,TOT,MID
482,186,Hudson-Odoi,NFO,MID
182,187,Amenda,COV,DEF
331,188,Gudmundsson,LEE,DEF
423,189,Shaw,MUN,DEF
488,190,Sangaré,NFO,MID
336,191,Okafor,LEE,MID
10,192,White,ARS,DEF
450,193,Livramento,NEW,DEF
248,194,Beto,EVE,FWD
593,195,David,BHA,FWD
9,196,Hincapie,ARS,DEF
327,197,Bijol,LEE,DEF
85,198,Van den Berg,BRE,DEF
6,199,Saliba,ARS,DEF
207,200,Mingueza,CRY,DEF
256,201,Tete,FUL,DEF
265,202,Berge,FUL,MID
362,203,Jacquet,LIV,DEF
268,204,King,FUL,MID
570,205,Palacios,FUL,MID
73,206,Adams,BOU,MID
328,207,Struijk,BHA,DEF
574,208,Yirenkyi,COV,MID
149,209,Colwill,CHE,DEF
456,210,J.Ramsey,NEW,MID
183,211,Rudoni,COV,MID
504,212,Vuskovic,BHA,DEF
401,213,Marmoush,MCI,FWD
579,214,Charles,FUL,MID
360,215,Bradley,LIV,DEF
521,216,Kulusevski,TOT,MID
174,217,Kitching,COV,DEF
377,218,Munoz,LIV,MID
130,219,Wieffer,BHA,DEF
152,220,Palestra,CHE,DEF
337,221,Aaronson,LEE,MID
105,222,Anthony,BRE,MID
432,223,Mainoo,MUN,MID
506,224,Udogie,TOT,DEF
575,225,Tomiyasu,CRY,DEF
457,226,J.Murphy,NEW,MID
486,227,McAtee,NFO,MID
448,228,Burn,NEW,DEF
393,229,Khusanov,MCI,DEF
190,230,Tchaouna,COV,MID
345,231,Tanaka,LEE,MID
563,232,Maeda,IPS,MID
185,233,Sakamoto,COV,MID
492,234,Awoniyi,COV,FWD
332,235,Justin,LEE,DEF
86,236,Lewis-Potter,BRE,MID
269,237,Sessegnon,FUL,DEF
246,238,Röhl,EVE,MID
420,239,Yoro,MUN,DEF
514,240,Tel,TOT,MID
406,241,Kovačić,MCI,MID
287,242,Millar,HUL,MID
157,243,Estêvão,CHE,MID
316,244,Emersonn,IPS,FWD
310,245,Matusiwa,IPS,MID
561,246,Morita,HUL,MID
567,247,Schlager,NFO,MID
148,248,Hato,CHE,DEF
576,249,Hjertø-Dahl,HUL,MID
536,250,Reinildo,SUN,DEF
464,251,Wissa,NEW,FWD
263,252,Kevin,FUL,MID
264,253,Bobb,FUL,MID
415,254,Dorgu,MUN,MID
34,255,Pau,AVL,DEF
454,256,Elanga,NEW,MID
519,257,Gallagher,TOT,MID
306,258,Greaves,IPS,DEF
580,259,Araujo,LIV,DEF
46,260,Barkley,AVL,MID
145,261,Fofana,CHE,DEF
116,262,Dunk,BHA,DEF
588,263,Khalaili,CRY,DEF
583,264,Chavarria,CHE,DEF
278,265,Hughes,HUL,DEF
259,266,Diop,IPS,DEF
289,267,Crooks,HUL,MID
62,268,Diakité,BOU,DEF
17,269,Merino,ARS,MID
373,270,C.Jones,LIV,MID
136,271,Welbeck,CHE,FWD
267,272,Lukić,IPS,MID
176,273,Dasilva,COV,DEF
75,274,Christie,BOU,MID
484,275,Hutchinson,NFO,MID
596,276,Ruggeri,AVL,DEF
186,277,Mason-Clark,COV,MID
405,278,N.Gonzalez,MCI,MID
309,279,Núñez,IPS,MID
282,280,Giles,HUL,DEF
290,281,Slater,HUL,MID
317,282,Hirst,IPS,FWD
241,283,McNeil,CRY,MID
589,284,Gourna-Douath,HUL,MID
271,285,Muniz,FUL,FWD
222,286,Strand Larsen,CRY,FWD
565,287,Bamba,NEW,MID
461,288,Touré,NEW,MID
231,289,Keane,EVE,DEF
277,290,Egan,HUL,DEF
418,291,Maguire,MUN,DEF
430,292,Mount,MUN,MID
502,293,Robertson,TOT,DEF
138,294,Kostoulas,BHA,FWD
572,295,Florentino,IPS,MID
206,296,Chadi Riad,CRY,DEF
114,297,Boscagli,BHA,DEF
258,298,Castagne,FUL,DEF
162,299,Andrey Santos,MUN,MID
582,300,Madjo,AVL,FWD
16,301,Madueke,ARS,MID
474,302,Jair Cunha,NFO,DEF
156,303,Neto,CHE,MID
242,304,George,EVE,MID
392,305,Aït-Nouri,MCI,DEF
104,306,Onyeka,COV,MID
255,307,J.Cuenca,FUL,DEF
586,308,Mendy,HUL,DEF
369,309,Ngumoha,LIV,MID
380,310,Ekitiké,LIV,FWD
131,311,Baleba,BHA,MID
42,312,Guessand,CRY,MID
568,313,Barco,CHE,MID
577,314,Stroud,HUL,MID
549,315,Talbi,SUN,MID
548,316,Rigg,SUN,MID
209,317,Johnson,EVE,MID
81,318,Rodríguez,BOU,FWD
516,319,Bentancur,TOT,MID
245,320,Dibling,EVE,MID
553,321,Isidor,SUN,FWD
599,322,Elvedi,LEE,DEF
52,323,Alysson,AVL,MID
35,324,Bogarde,AVL,MID
193,325,Wright,COV,FWD
213,326,Lerma,CRY,MID
595,327,Dedić,NEW,DEF
7,328,Lewis-Skelly,ARS,MID
77,329,Adli,BOU,MID
21,330,Nørgaard,EVE,MID
201,331,Muñoz,CRY,DEF
280,332,Coyle,HUL,DEF
33,333,Mings,AVL,DEF
347,334,Nmecha,LEE,FWD
194,335,Thomas-Asante,COV,FWD
598,336,Cherif,COV,FWD
395,337,Lewis,MCI,DEF
462,338,Steur,NEW,MID
188,339,Torp,COV,MID
421,340,Heaven,MUN,DEF
541,341,Meunier,SUN,DEF
90,342,Hickey,BRE,DEF
71,343,Cook,BOU,MID
279,344,Ajayi,HUL,DEF
108,345,Wilson,BRE,FWD
422,346,Mazraoui,MUN,DEF
560,347,Targett,HUL,DEF
446,348,Schär,NEW,DEF
74,349,Brooks,BOU,MID
323,350,McAteer,IPS,MID
28,351,Martinez,AVL,GKP
63,352,Milosavljević,BOU,DEF
318,353,Philogene,IPS,MID
98,354,Janelt,BRE,MID
321,355,Walle Egeli,IPS,FWD
592,356,Ouattara,IPS,DEF
288,357,Dowell,HUL,MID
522,358,Gray,TOT,MID
594,359,Gozo,CRY,MID
161,360,Lavia,CHE,MID
344,361,Gruev,LEE,MID
487,362,Dominguez,NFO,MID
489,363,Yates,NFO,MID
212,364,Hughes,CRY,MID
20,365,Dowman,ARS,MID
539,366,O'Nien,SUN,DEF
518,367,P.M.Sarr,TOT,MID
363,368,Leoni,LIV,DEF
64,369,Smith,BOU,DEF
294,370,Zambrano,HUL,MID
303,371,Kipré,IPS,DEF
550,372,Jocelin.T,SUN,MID
19,373,Zubimendi,ARS,MID
137,374,Tzimas,BHA,FWD
308,375,Furlong,IPS,DEF
501,376,Danso,TOT,DEF
56,377,Abraham,AVL,FWD
18,378,Martinelli,ARS,MID
218,379,Doucouré,CRY,MID
170,380,Emegha,CHE,FWD
72,381,Gannon-Doak,BOU,MID
195,382,Simms,COV,FWD
440,383,Zirkzee,MUN,FWD
151,384,Acheampong,CHE,DEF
37,385,Lindelöf,AVL,DEF
244,386,Armstrong,EVE,MID
272,387,Kusi-Asare,FUL,FWD
164,388,Quenda,CHE,MID
270,389,Reed,FUL,MID
215,390,Devenny,CRY,MID
177,391,Kesler-Hayden,COV,DEF
158,392,Gittens,CHE,MID
403,393,Savinho,MCI,MID
224,394,Nketiah,CRY,FWD
103,395,Dasilva,BRE,MID
513,396,Xavi,TOT,MID
520,397,Bergvall,TOT,MID
144,398,Gusto,CHE,DEF
359,399,Gomez,LIV,DEF
99,400,Milambo,BRE,MID
339,401,Longstaff,LEE,MID
376,402,Bajcetic,LIV,MID
187,403,Eccles,COV,MID
517,404,Odobert,TOT,MID
235,405,Aznou,EVE,DEF
460,406,Willock,NEW,MID
266,407,Cairney,FUL,MID
374,408,Endo,LIV,MID
48,409,Onana,AVL,MID
416,410,De Ligt,MUN,DEF
478,411,Netz,NFO,DEF
240,412,Iroegbunam,EVE,MID
470,413,Morato,NFO,DEF
76,414,Tóth.A,BOU,MID
281,415,Drameh,HUL,DEF
243,416,Alcaraz,EVE,MID
324,417,Mehmeti,IPS,MID
343,418,James,LEE,MID
180,419,Woolfenden,COV,DEF
178,420,Bidwell,COV,DEF
341,421,Gnonto,LEE,MID
179,422,Latibeaudiere,COV,DEF
89,423,Henry,BRE,DEF
307,424,Johnson,IPS,DEF
585,425,Herrington,HUL,DEF
